ID,SALT,PASSWORD,TIME
1,10,Y5N=j>Naxr=MZ3*j,81260249
2,10,Y5N=j>Naxr=MZ3*j,74630023
3,10,Y5N=j>Naxr=MZ3*j,75291618
4,10,Y5N=j>Naxr=MZ3*j,75431125
5,10,Y5N=j>Naxr=MZ3*j,77257132
6,10,Y5N=j>Naxr=MZ3*j,76102613
7,10,Y5N=j>Naxr=MZ3*j,75613807
8,10,Y5N=j>Naxr=MZ3*j,74569340
9,10,Y5N=j>Naxr=MZ3*j,74737245
10,10,Y5N=j>Naxr=MZ3*j,81615386
11,10,Y5N=j>Naxr=MZ3*j,76173041
12,10,Y5N=j>Naxr=MZ3*j,76724240
13,10,Y5N=j>Naxr=MZ3*j,75610108
14,10,Y5N=j>Naxr=MZ3*j,74078636
15,10,Y5N=j>Naxr=MZ3*j,74964469
16,10,Y5N=j>Naxr=MZ3*j,75536390
17,10,Y5N=j>Naxr=MZ3*j,75183577
18,10,Y5N=j>Naxr=MZ3*j,74514447
19,10,Y5N=j>Naxr=MZ3*j,76492944
20,10,Y5N=j>Naxr=MZ3*j,76075951
21,10,Y5N=j>Naxr=MZ3*j,74572463
22,10,Y5N=j>Naxr=MZ3*j,76183107
23,10,Y5N=j>Naxr=MZ3*j,73981149
24,10,Y5N=j>Naxr=MZ3*j,77251597
25,10,Y5N=j>Naxr=MZ3*j,82858685
26,10,Y5N=j>Naxr=MZ3*j,81037122
27,10,Y5N=j>Naxr=MZ3*j,76877877
28,10,Y5N=j>Naxr=MZ3*j,76464310
29,10,Y5N=j>Naxr=MZ3*j,75305340
30,10,Y5N=j>Naxr=MZ3*j,77210484
31,10,Y5N=j>Naxr=MZ3*j,73928595
32,10,Y5N=j>Naxr=MZ3*j,75713769
33,10,Y5N=j>Naxr=MZ3*j,76539322
34,10,Y5N=j>Naxr=MZ3*j,74505775
35,10,Y5N=j>Naxr=MZ3*j,74145184
36,10,Y5N=j>Naxr=MZ3*j,74624360
37,10,Y5N=j>Naxr=MZ3*j,74656220
38,10,Y5N=j>Naxr=MZ3*j,75162995
39,10,Y5N=j>Naxr=MZ3*j,76031949
40,10,Y5N=j>Naxr=MZ3*j,73684898
41,10,Y5N=j>Naxr=MZ3*j,74685038
42,10,Y5N=j>Naxr=MZ3*j,76080159
43,10,Y5N=j>Naxr=MZ3*j,74881295
44,10,Y5N=j>Naxr=MZ3*j,74078550
45,10,Y5N=j>Naxr=MZ3*j,74364961
46,10,Y5N=j>Naxr=MZ3*j,74518749
47,10,Y5N=j>Naxr=MZ3*j,76023293
48,10,Y5N=j>Naxr=MZ3*j,74823222
49,10,Y5N=j>Naxr=MZ3*j,75712710
50,10,Y5N=j>Naxr=MZ3*j,74442867
51,10,Y5N=j>Naxr=MZ3*j,73902568
52,10,Y5N=j>Naxr=MZ3*j,74884100
53,10,Y5N=j>Naxr=MZ3*j,74570989
54,10,Y5N=j>Naxr=MZ3*j,76010465
55,10,Y5N=j>Naxr=MZ3*j,74863868
56,10,Y5N=j>Naxr=MZ3*j,75551880
57,10,Y5N=j>Naxr=MZ3*j,74834738
58,10,Y5N=j>Naxr=MZ3*j,74721244
59,10,Y5N=j>Naxr=MZ3*j,75224709
60,10,Y5N=j>Naxr=MZ3*j,75950323
61,10,Y5N=j>Naxr=MZ3*j,75228937
62,10,Y5N=j>Naxr=MZ3*j,75218174
63,10,Y5N=j>Naxr=MZ3*j,74563290
64,10,Y5N=j>Naxr=MZ3*j,75789994
65,10,Y5N=j>Naxr=MZ3*j,75363929
66,10,Y5N=j>Naxr=MZ3*j,75205237
67,10,Y5N=j>Naxr=MZ3*j,75854826
